id,target
0,0.02146
1,0.04279
2,0.03906
3,0.01506
4,0.01998
5,0.01933
6,0.03623
8,0.02448
10,0.06468
11,0.04742
12,0.03277
14,0.01966
15,0.04207
18,0.04370
21,0.03813
23,0.03759
24,0.02853
25,0.02983
27,0.05243
29,0.04314
30,0.02710
31,0.04845
32,0.04358
33,0.03649
37,0.02781
38,0.04501
39,0.05319
40,0.02484
41,0.03544
42,0.03078
44,0.02198
45,0.02802
47,0.02999
49,0.02059
51,0.05528
52,0.02517
53,0.03431
54,0.05949
55,0.02017
56,0.03313
57,0.04088
59,0.06520
60,0.04449
62,0.02507
63,0.06222
67,0.04358
68,0.01354
69,0.08724
70,0.03082
71,0.02866
73,0.02658
75,0.02943
76,0.02667
81,0.01495
82,0.03889
83,0.03063
86,0.02794
87,0.03765
88,0.02605
91,0.05786
92,0.02905
94,0.02790
97,0.03208
100,0.02507
102,0.03218
103,0.02918
105,0.02668
106,0.05090
108,0.02855
113,0.05572
114,0.04415
115,0.02684
118,0.02634
122,0.02184
124,0.03605
126,0.03207
128,0.02545
129,0.03046
130,0.03378
131,0.03577
132,0.04857
133,0.02040
134,0.05751
135,0.04708
136,0.02013
139,0.02084
140,0.02084
141,0.05287
146,0.02656
148,0.04568
151,0.02310
152,0.03485
154,0.02789
157,0.03593
158,0.01493
159,0.06061
161,0.02159
164,0.01660
165,0.06046
167,0.04049
168,0.06494
169,0.04191
171,0.03975
172,0.04596
173,0.01809
174,0.02845
175,0.04166
176,0.03461
178,0.03520
179,0.02406
180,0.02064
181,0.02104
182,0.05706
183,0.03916
184,0.04044
185,0.02929
187,0.02346
188,0.02146
190,0.03221
191,0.04535
192,0.06829
195,0.03481
196,0.03473
198,0.05112
201,0.04250
202,0.04318
203,0.02533
204,0.02811
207,0.02946
213,0.03653
219,0.02325
220,0.03256
222,0.04143
226,0.01643
228,0.05838
230,0.03467
231,0.03184
232,0.03656
233,0.02920
234,0.01194
236,0.02624
237,0.03147
238,0.05997
240,0.05047
241,0.01710
242,0.05234
243,0.02248
245,0.02046
246,0.04653
247,0.02319
249,0.05235
250,0.03119
251,0.02034
252,0.03810
253,0.02475
254,0.02938
255,0.05974
256,0.04101
257,0.03601
258,0.03355
259,0.06538
260,0.01179
262,0.01714
267,0.02281
268,0.02739
270,0.01628
272,0.03221
273,0.02306
274,0.03049
275,0.03358
276,0.03787
277,0.05489
278,0.05232
279,0.05255
281,0.03223
282,0.03038
283,0.03813
287,0.02968
288,0.04357
289,0.02974
290,0.02850
291,0.04537
292,0.07175
293,0.02993
294,0.03234
295,0.02860
296,0.07182
297,0.03594
298,0.03297
299,0.03623
300,0.05462
303,0.02659
304,0.04981
308,0.01712
314,0.08976
315,0.03788
317,0.03834
318,0.04100
320,0.04993
322,0.03948
323,0.02620
327,0.04056
329,0.06657
331,0.01480
332,0.07740
333,0.04034
334,0.03461
335,0.02240
336,0.03631
337,0.04207
341,0.04061
343,0.02711
345,0.03383
347,0.02571
348,0.02656
349,0.03197
352,0.03828
353,0.02220
354,0.06593
355,0.03863
356,0.03161
357,0.03052
358,0.03000
359,0.03936
361,0.04073
362,0.02183
365,0.03763
366,0.03901
368,0.02402
369,0.02871
371,0.02337
373,0.01656
376,0.02661
377,0.04846
379,0.02449
381,0.03776
382,0.02641
383,0.02084
384,0.05180
385,0.02325
386,0.03999
387,0.02830
388,0.05874
390,0.02399
391,0.02587
392,0.05395
393,0.04680
394,0.01835
396,0.03986
400,0.03593
402,0.05724
403,0.01819
405,0.02839
407,0.03634
409,0.03399
411,0.02672
412,0.02492
414,0.08177
415,0.04120
416,0.02100
418,0.01899
419,0.02578
421,0.01895
422,0.03868
423,0.03539
424,0.03367
426,0.02791
427,0.05112
428,0.03708
436,0.04073
438,0.05093
442,0.03492
443,0.02388
445,0.03138
446,0.02602
447,0.02612
450,0.06678
452,0.02656
453,0.03470
455,0.03980
458,0.07908
459,0.01570
461,0.04427
463,0.01568
467,0.07500
470,0.03218
471,0.03306
472,0.01944
476,0.05793
477,0.03797
481,0.03575
482,0.05516
483,0.06524
485,0.04000
487,0.01724
488,0.02527
490,0.03574
492,0.03202
494,0.04837
497,0.07975
499,0.03187
500,0.03642
501,0.03577
503,0.03178
505,0.04058
506,0.03865
507,0.02951
509,0.03676
510,0.04770
511,0.05100
512,0.01762
514,0.03408
515,0.02412
516,0.02605
517,0.08790
519,0.02533
520,0.03497
521,0.03386
522,0.04684
523,0.05016
527,0.03141
530,0.03402
532,0.04748
534,0.01938
536,0.03839
539,0.02293
543,0.01842
547,0.03196
550,0.03884
551,0.03332
552,0.03766
553,0.04328
555,0.04584
556,0.03217
557,0.02580
558,0.04138
559,0.03326
560,0.02110
561,0.03482
565,0.03959
566,0.04103
567,0.03031
571,0.02458
572,0.05227
574,0.01839
575,0.02114
576,0.03993
577,0.05275
578,0.02166
579,0.05495
581,0.01114
587,0.01808
589,0.02659
590,0.06339
591,0.02319
592,0.02757
593,0.02892
594,0.08165
595,0.05700
596,0.01389
597,0.02860
598,0.09203
600,0.02175
602,0.01365
605,0.03075
606,0.03389
607,0.02968
612,0.01648
613,0.02594
614,0.01657
615,0.02800
616,0.02289
617,0.03344
618,0.05508
620,0.02273
621,0.02201
622,0.02347
623,0.02757
628,0.03744
631,0.04476
632,0.02061
633,0.02775
634,0.03870
635,0.06049
637,0.03848
638,0.05777
640,0.04099
643,0.02420
644,0.07870
645,0.03650
646,0.04371
649,0.02824
651,0.03129
653,0.01368
654,0.05751
655,0.08615
656,0.03063
658,0.04534
659,0.01976
661,0.04516
662,0.03255
663,0.04404
664,0.06739
665,0.05037
667,0.02908
668,0.02100
671,0.03060
673,0.04407
674,0.06861
675,0.01836
676,0.04163
677,0.02290
678,0.02966
679,0.04051
680,0.03769
681,0.05833
682,0.03938
683,0.02679
684,0.02397
686,0.05887
687,0.05254
688,0.04987
690,0.01896
691,0.02451
692,0.05534
693,0.03465
694,0.05110
695,0.01727
696,0.02590
698,0.03843
699,0.02030
702,0.03844
703,0.01078
705,0.06985
706,0.03151
707,0.02881
708,0.02255
709,0.06875
710,0.06647
713,0.03720
714,0.02536
715,0.04622
716,0.04489
717,0.05594
718,0.03275
719,0.02618
720,0.03780
721,0.03233
723,0.03499
724,0.06919
726,0.01937
728,0.08446
730,0.02034
732,0.01993
734,0.02173
735,0.03524
737,0.01725
738,0.04915
741,0.04508
742,0.03778
743,0.02196
746,0.03753
747,0.04316
749,0.03489
750,0.04999
752,0.04105
755,0.03370
757,0.03154
758,0.02874
759,0.02465
765,0.04342
766,0.02746
767,0.06185
768,0.03171
769,0.03000
770,0.01252
771,0.02863
772,0.01656
773,0.05474
775,0.04282
776,0.04158
778,0.03077
779,0.03763
780,0.02570
782,0.03098
783,0.04338
784,0.03415
785,0.01908
786,0.02752
788,0.03507
789,0.03090
792,0.08583
793,0.02353
794,0.04499
797,0.05420
798,0.02133
799,0.06619
800,0.03871
801,0.05533
802,0.06399
805,0.03210
807,0.02578
808,0.02429
811,0.02673
813,0.02003
814,0.02381
815,0.09649
816,0.03325
817,0.01981
819,0.01345
821,0.02678
823,0.02812
825,0.02908
826,0.02705
827,0.02046
828,0.01901
830,0.03767
831,0.07099
833,0.01493
834,0.07633
835,0.04395
836,0.02971
837,0.03169
838,0.05915
840,0.03035
842,0.01932
844,0.03319
845,0.07291
847,0.04156
848,0.06225
850,0.02316
851,0.02871
852,0.04624
853,0.08564
855,0.02217
856,0.03774
857,0.04658
859,0.03145
860,0.05283
862,0.04898
863,0.05026
864,0.04115
867,0.03294
868,0.03056
869,0.02833
871,0.01905
873,0.02949
875,0.04299
876,0.04655
877,0.02116
879,0.05810
880,0.07361
883,0.03538
884,0.02726
885,0.02406
886,0.01712
887,0.02153
888,0.01665
891,0.03435
893,0.01429
895,0.10181
897,0.04650
898,0.07377
901,0.02549
902,0.03133
904,0.03754
905,0.02289
907,0.07662
908,0.03299
909,0.04785
910,0.01681
911,0.01438
913,0.02752
914,0.02301
915,0.07952
916,0.03187
917,0.03783
919,0.02453
920,0.02764
923,0.02637
924,0.02579
925,0.03842
926,0.03311
928,0.02565
929,0.01072
932,0.03542
935,0.04465
936,0.05167
937,0.03447
938,0.03916
939,0.02584
940,0.03906
941,0.03172
944,0.03663
945,0.02077
946,0.06530
947,0.02814
949,0.02584
950,0.03110
952,0.02915
953,0.03996
955,0.01587
956,0.02346
957,0.02129
960,0.03387
961,0.03111
962,0.03661
963,0.01548
964,0.04080
967,0.03660
975,0.04459
976,0.02583
977,0.02207
978,0.04405
980,0.01775
985,0.05103
986,0.06404
987,0.01789
989,0.02792
992,0.03064
994,0.06075
995,0.03116
996,0.01709
997,0.05159
998,0.01874
999,0.06667
1000,0.04950
1004,0.02390
1005,0.07754
1006,0.02240
1007,0.08911
1010,0.02762
1011,0.05413
1012,0.01589
1013,0.03958
1014,0.02326
1016,0.06607
1018,0.04690
1019,0.02293
1020,0.04851
1022,0.04397
1023,0.02316
1024,0.02950
1025,0.03189
1029,0.04333
1031,0.01916
1032,0.01733
1033,0.02757
1034,0.05747
1035,0.04417
1036,0.03891
1037,0.02295
1038,0.02958
1039,0.03419
1041,0.01860
1043,0.02319
1049,0.05111
1050,0.08329
1051,0.03575
1052,0.03589
1053,0.02564
1054,0.03485
1056,0.08923
1057,0.06048
1060,0.05620
1061,0.01951
1062,0.02704
1063,0.06371
1064,0.10576
1065,0.01507
1066,0.05720
1068,0.06212
1073,0.04203
1075,0.01655
1079,0.03603
1081,0.03882
1083,0.06315
1085,0.02471
1086,0.02247
1087,0.02867
1088,0.01808
1089,0.04804
1090,0.05471
1091,0.02761
1092,0.02839
1095,0.03862
1098,0.03688
1099,0.03779
1100,0.05645
1101,0.06805
1103,0.05402
1104,0.05326
1106,0.01980
1107,0.03882
1108,0.05965
1109,0.02972
1113,0.05008
1114,0.03847
1116,0.02762
1117,0.03758
1118,0.03532
1119,0.02748
1120,0.02949
1121,0.01938
1122,0.02265
1123,0.03009
1125,0.01791
1126,0.04401
1127,0.01540
1128,0.05921
1129,0.03174
1130,0.02790
1132,0.03065
1133,0.06775
1136,0.01388
1137,0.05846
1140,0.03278
1142,0.05770
1144,0.03699
1145,0.03188
1146,0.01683
1148,0.04864
1150,0.01605
1151,0.02561
1153,0.06122
1154,0.02479
1155,0.04284
1156,0.05354
1157,0.02092
1158,0.02884
1160,0.01193
1161,0.03813
1167,0.03187
1168,0.02132
1170,0.02698
1171,0.05752
1173,0.02485
1174,0.05666
1175,0.03750
1176,0.04207
1177,0.01920
1178,0.03933
1179,0.02275
1180,0.02900
1181,0.03924
1182,0.01887
1183,0.05541
1185,0.02173
1188,0.03625
1189,0.01912
1190,0.03896
1191,0.03752
1192,0.02946
1194,0.03017
1197,0.03559
1198,0.03023
1199,0.04168
1200,0.02493
1203,0.04706
1204,0.03484
1207,0.03949
1208,0.05613
1209,0.02169
1210,0.05321
1211,0.02295
1213,0.02593
1214,0.02550
1215,0.02589
1216,0.08289
1217,0.03540
1218,0.02691
1219,0.02691
1223,0.03087
1225,0.02675
1226,0.02874
1228,0.06457
1229,0.01808
1231,0.03912
1232,0.07600
1233,0.03638
1235,0.03176
1238,0.02332
1239,0.03383
1240,0.02323
1241,0.02043
1242,0.01904
1243,0.03780
1244,0.02183
1246,0.06842
1249,0.06342
1250,0.01427
1252,0.02933
1254,0.03901
1255,0.02088
1256,0.02451
1257,0.02613
1258,0.02412
1259,0.05305
1260,0.03252
1262,0.02648
1263,0.01789
1264,0.02702
1265,0.05690
1266,0.01622
1269,0.04069
1270,0.03201
1271,0.01391
1272,0.06799
1273,0.02155
1274,0.03277
1277,0.03273
1278,0.02230
1281,0.03750
1282,0.05425
1283,0.02362
1284,0.01778
1285,0.03084
1286,0.06097
1289,0.02443
1291,0.02724
1292,0.05684
1293,0.06938
1294,0.06107
1295,0.04685
1297,0.01797
1298,0.03283
1301,0.04127
1304,0.04400
1305,0.02080
1307,0.05142
1308,0.04491
1309,0.05268
1313,0.05888
1314,0.04083
1316,0.02949
1317,0.03937
1318,0.04302
1320,0.03383
1321,0.01408
1322,0.01745
1323,0.02681
1325,0.02993
1330,0.02432
1331,0.03398
1334,0.03352
1337,0.01777
1339,0.03474
1340,0.02397
1341,0.03584
1343,0.02698
1344,0.01943
1347,0.01655
1348,0.06075
1350,0.02300
1351,0.02139
1355,0.02579
1356,0.03099
1357,0.03537
1358,0.03520
1360,0.02836
1363,0.03340
1364,0.03010
1366,0.02565
1367,0.05155
1368,0.04546
1369,0.02168
1370,0.03786
1375,0.03049
1376,0.01183
1378,0.05845
1379,0.03532
1380,0.03687
1384,0.01018
1385,0.02772
1386,0.04768
1388,0.02642
1389,0.01479
1391,0.04345
1392,0.01277
1393,0.03220
1395,0.03814
1396,0.05844
1399,0.03588
1400,0.05200
1401,0.03066
1404,0.01995
1405,0.01876
1406,0.05102
1407,0.01170
1409,0.03852
1411,0.04298
1414,0.04961
1415,0.02665
1416,0.04389
1418,0.06633
1419,0.02279
1420,0.01671
1422,0.05052
1424,0.02482
1426,0.02857
1427,0.03187
1428,0.02462
1429,0.03619
1431,0.02846
1432,0.04353
1434,0.04948
1435,0.03428
1439,0.02367
1440,0.04001
1441,0.05559
1442,0.04242
